"DATA","TIPO","MATERIA","ATTIVITA'","POMODORI","IMPREVISTI"
"11/2/2020","STUDIO","SCIENZE","ESERCIZI","2","0"
"11/2/2020","STUDIO","FISICA","ESERCIZI","3","1"
"11/2/2020","STUDIO","ITALIANO","TEORIA","1","0"
"11/3/2020","STUDIO","FISICA","ESERCIZI","5","0"
"11/3/2020","STUDIO","ITALIANO","TEORIA","2","0"
"11/4/2020","STUDIO","MATEMATICA","TEORIA","4","0"
"11/5/2020","NO STUDIO","","","0",""
"11/6/2020","STUDIO","MATEMATICA","ESERCIZI","1","0"
"11/6/2020","STUDIO","LATINO","TEORIA","2","0"
"11/7/2020","STUDIO","SCIENZE","ESERCIZI","1","0"
"11/7/2020","STUDIO","LATINO","TEORIA","1","1"
"11/7/2020","STUDIO","ITALIANO","TEORIA","1","1"
"11/7/2020","STUDIO","MATEMATICA","ESERCIZI","2","0"
"11/8/2020","STUDIO","STORIA","ESERCIZI","3","0"
"11/9/2020","STUDIO","STORIA","ESERCIZI","7","0"
"11/10/2020","STUDIO","STORIA","ESERCIZI","2","2"
"11/10/2020","STUDIO","MATEMATICA","ESERCIZI","2","0"
"11/11/2020","STUDIO","SCIENZE","ESERCIZI","2","0"
"11/11/2020","STUDIO","FISICA","ESERCIZI","5","1"
"11/12/2020","STUDIO","MATEMATICA","ESERCIZI","1","0"
"11/12/2020","STUDIO","FISICA","ESERCIZI","2","0"
"11/12/2020","STUDIO","SCIENZE","TEORIA","2","0"
"11/13/2020","STUDIO","SCIENZE","TEORIA","4","0"
"11/13/2020","STUDIO","ARTE","TEORIA","1","0"
"11/14/2020","STUDIO","SCIENZE","ESERCIZI","2","0"
"11/14/2020","STUDIO","MATEMATICA","TEORIA","1","0"
"11/15/2020","STUDIO","ARTE","TEORIA","2","0"
"11/15/2020","STUDIO","MATEMATICA","TEORIA","1","0"
"11/15/2020","STUDIO","SCIENZE","ESERCIZI","1","0"
"11/16/2020","STUDIO","MATEMATICA","ESERCIZI","1","1"
"11/16/2020","STUDIO","ARTE","TEORIA","7","0"
"11/17/2020","STUDIO","ARTE","TEORIA","7","0"
"11/18/2020","STUDIO","ARTE","TEORIA","1","0"
"11/18/2020","STUDIO","SCIENZE","ESERCIZI","7","2"
"11/19/2020","STUDIO","LATINO","TEORIA","1","0"
"11/19/2020","STUDIO","FISICA","ESERCIZI","1","0"
"11/20/2020","STUDIO","MATEMATICA","ESERCIZI","1","0"
"11/20/2020","STUDIO","LATINO","TEORIA","7","0"
"11/21/2020","STUDIO","INGLESE","TEORIA","4","0"
"11/22/2020","STUDIO","SCIENZE","ESERCIZI","1","0"
"11/22/2020","STUDIO","STORIA","TEORIA","1","0"
"11/22/2020","STUDIO","MATEMATICA","TEORIA","2","0"
"11/23/2020","STUDIO","MATEMATICA","ESERCIZI","1","0"
"11/23/2020","STUDIO","ITALIANO","TEORIA","2","0"
"11/23/2020","STUDIO","ARTE","TEORIA","2","0"
"11/24/2020","STUDIO","ARTE","TEORIA","4","0"
"11/25/2020","STUDIO","SCIENZE","ESERCIZI","2","0"
"11/25/2020","STUDIO","STORIA","TEORIA","1","0"
"11/26/2020","STUDIO","STORIA","TEORIA","6","0"
"11/27/2020","STUDIO","STORIA","TEORIA","7","0"
"11/27/2020","STUDIO","SCIENZE","ESERCIZI","1","0"
"11/28/2020","STUDIO","SCIENZE","ESERCIZI","1","0"
"11/29/2020","STUDIO","ITALIANO","ESERCIZI","5","0"
"11/29/2020","STUDIO","MATEMATICA","TEORIA","1","0"
"11/30/2020","STUDIO","ITALIANO","ESERCIZI","7","0"
"11/30/2020","STUDIO","MATEMATICA","ESERCIZI","2","0"
"12/1/2020","STUDIO","ITALIANO","ESERCIZI","6","1"
"12/2/2020","STUDIO","ITALIANO","TEORIA","4","0"
"12/2/2020","STUDIO","MATEMATICA","ESERCIZI","3","2"
"12/2/2020","STUDIO","ED. FISICA","ESERCIZI","1","0"
"12/3/2020","STUDIO","MATEMATICA","ESERCIZI","6","0"
"12/4/2020","STUDIO","ITALIANO","TEORIA","10","1"
