"DATA","TIPO","MATERIA","ATTIVITA'","POMODORI","IMPREVISTI"
"4/25/2021","STUDIO","ARTE","TEORIA","2","2"
"4/25/2021","STUDIO","STORIA","TEORIA","5","0"
"4/26/2021","STUDIO","ARTE","TEORIA","2","0"
"4/27/2021","STUDIO","ARTE","TEORIA","6","2"
"4/27/2021","STUDIO","ITALIANO","TEORIA","1","0"
"4/27/2021","STUDIO","FISICA","TEORIA","1","0"
"4/28/2021","STUDIO","ITALIANO","TEORIA","1","0"
"4/28/2021","STUDIO","FILOSOFIA","TEORIA","2","1"
"4/28/2021","STUDIO","FISICA","TEORIA","1","0"
"4/29/2021","STUDIO","FILOSOFIA","TEORIA","3","1"
"4/29/2021","STUDIO","MATEMATICA","TEORIA","3","1"
"4/30/2021","STUDIO","SCIENZE","TEORIA","2","0"
"5/1/2021","STUDIO","SCIENZE","TEORIA","3","0"
"5/1/2021","STUDIO","ITALIANO","TEORIA","1","0"
"5/2/2021","STUDIO","RELIGIONE","ESERCIZI","2","0"
"5/2/2021","STUDIO","SCIENZE","TEORIA","1","0"
"5/2/2021","STUDIO","FISICA","TEORIA","1","0"
"5/3/2021","STUDIO","ITALIANO","TEORIA","5","0"
"5/3/2021","STUDIO","FISICA","TEORIA","1","0"
"5/3/2021","STUDIO","SCIENZE","TEORIA","1","0"
"5/4/2021","STUDIO","ITALIANO","TEORIA","1","1"
"5/5/2021","STUDIO","ITALIANO","TEORIA","3","2"
"5/5/2021","STUDIO","MATEMATICA","ESERCIZI","1","0"
"5/6/2021","NO STUDIO","","","0",""
"5/7/2021","STUDIO","INGLESE","TEORIA","1","0"
"5/8/2021","STUDIO","FISICA","TEORIA","2","0"
"5/9/2021","STUDIO","MATEMATICA","ESERCIZI","3","0"
"5/9/2021","STUDIO","INGLESE","TEORIA","1","0"
"5/10/2021","STUDIO","LATINO","TEORIA","2","0"
"5/10/2021","STUDIO","LATINO","TEORIA","2","0"
"5/11/2021","STUDIO","LATINO","TEORIA","1","0"
"5/12/2021","STUDIO","LATINO","TEORIA","2","0"
"5/13/2021","STUDIO","LATINO","TEORIA","4","2"
"5/13/2021","STUDIO","FISICA","TEORIA","1","0"
"5/14/2021","STUDIO","INGLESE","ESERCIZI","3","0"
"5/14/2021","STUDIO","FISICA","TEORIA","1","0"
"5/14/2021","STUDIO","SCIENZE","TEORIA","2","0"
"5/15/2021","STUDIO","SCIENZE","TEORIA","4","0"
"5/16/2021","NO STUDIO","","","0",""
"5/17/2021","STUDIO","FISICA","ESERCIZI","8","0"
"5/18/2021","STUDIO","FISICA","ESERCIZI","6","2"
"5/19/2021","STUDIO","MATEMATICA","ESERCIZI","5","2"
"5/20/2021","STUDIO","FISICA","ESERCIZI","2","0"
"5/20/2021","STUDIO","SCIENZE","TEORIA","3","0"
"5/21/2021","STUDIO","FISICA","ESERCIZI","1","0"
"5/21/2021","STUDIO","SCIENZE","TEORIA","7","1"
"5/22/2021","STUDIO","SCIENZE","TEORIA","4","0"
"5/23/2021","STUDIO","SCIENZE","TEORIA","10","1"
"5/24/2021","STUDIO","FISICA","ESERCIZI","5","0"
"5/24/2021","STUDIO","ITALIANO","TEORIA","2","0"
"5/25/2021","STUDIO","ITALIANO","TEORIA","4","0"
"5/25/2021","STUDIO","FISICA","ESERCIZI","1","0"
"5/26/2021","STUDIO","FISICA","ESERCIZI","3","0"
"5/26/2021","STUDIO","FILOSOFIA","ESERCIZI","2","0"
"5/26/2021","STUDIO","ITALIANO","TEORIA","3","0"
"5/27/2021","STUDIO","ITALIANO","TEORIA","4","0"
"5/28/2021","STUDIO","FISICA","ESERCIZI","1","0"
"5/28/2021","STUDIO","INGLESE","TEORIA","1","0"
"5/29/2021","STUDIO","FISICA","ESERCIZI","3","0"
"5/30/2021","STUDIO","FISICA","ESERCIZI","12","2"
"5/31/2021","STUDIO","FISICA","ESERCIZI","2","0"
"6/1/2021","STUDIO","ITALIANO","TEORIA","1","0"
"6/2/2021","STUDIO","SCIENZE","TEORIA","1","0"
"6/3/2021","NO STUDIO","","","0",""
"6/4/2021","STUDIO","ITALIANO","ESERCIZI","2","0"
"6/4/2021","STUDIO","LATINO","ESERCIZI","1","0"
"6/4/2021","STUDIO","INGLESE","ESERCIZI","1","0"
"6/4/2021","STUDIO","STORIA","ESERCIZI","1","0"
"6/4/2021","STUDIO","MATEMATICA","ESERCIZI","1","0"
"6/5/2021","STUDIO","SCIENZE","ESERCIZI","2","0"
"6/5/2021","STUDIO","INGLESE","ESERCIZI","1","0"
"6/5/2021","STUDIO","ARTE","ESERCIZI","1","0"
"6/6/2021","STUDIO","LATINO","TEORIA","5","0"
"6/7/2021","STUDIO","FILOSOFIA","TEORIA","4","1"
"6/7/2021","STUDIO","INGLESE","TEORIA","4","0"
"6/8/2021","STUDIO","SCIENZE","TEORIA","3","0"
"6/9/2021","STUDIO","STORIA","TEORIA","3","0"
"6/9/2021","STUDIO","ITALIANO","TEORIA","4","0"
"6/10/2021","STUDIO","ITALIANO","TEORIA","5","0"
"6/10/2021","STUDIO","ARTE","TEORIA","4","1"
"6/11/2021","STUDIO","ITALIANO","ESERCIZI","4","0"
"6/11/2021","STUDIO","LATINO","TEORIA","4","0"
"6/12/2021","STUDIO","ITALIANO","TEORIA","4","0"
"6/12/2021","STUDIO","INGLESE","TEORIA","4","0"
"6/13/2021","STUDIO","ARTE","TEORIA","4","0"
"6/13/2021","STUDIO","STORIA","TEORIA","4","0"
"6/13/2021","STUDIO","ITALIANO","ESERCIZI","3","0"
"6/14/2021","STUDIO","ITALIANO","TEORIA","4","0"
"6/14/2021","STUDIO","FILOSOFIA","TEORIA","4","0"
"6/14/2021","STUDIO","FISICA","ESERCIZI","1","0"
"6/15/2021","STUDIO","ITALIANO","TEORIA","6","2"
"6/15/2021","STUDIO","LATINO","TEORIA","3","0"
"6/15/2021","STUDIO","INGLESE","TEORIA","2","0"
"6/16/2021","STUDIO","SCIENZE","TEORIA","3","0"
"6/16/2021","STUDIO","ARTE","TEORIA","2","0"
"6/16/2021","STUDIO","MATEMATICA","TEORIA","1","0"
"6/16/2021","STUDIO","FISICA","TEORIA","3","0"
"6/16/2021","STUDIO","ITALIANO","TEORIA","2","0"
"6/16/2021","STUDIO","ED. CIVICA","TEORIA","1","0"
"6/16/2021","STUDIO","LATINO","TEORIA","1","0"
"6/16/2021","STUDIO","FILOSOFIA","TEORIA","2","0"
"6/17/2021","STUDIO","FISICA","TEORIA","2","0"
